Start,End,UPPER_BUS_PHASE_A,UPPER_BUS_PHASE_B,UPPER_BUS_PHASE_C,LOWER_BUS_PHASE_A,LOWER_BUS_PHASE_B,LOWER_BUS_PHASE_C,OUTGOING_PHASE_A,OUTGOING_PHASE_B,OUTGOING_PHASE_C,UPPER_BUS_PD,LOWER_BUS_PD,SPOUT_PD,OUTGOING_PD,Status
2022-02-28 00:00:00,2022-02-28 01:00:00,29.5,27.80000114440918,26.80000114440918,33.20000076293945,30.399999618530277,27.100000381469727,29.30000114440918,28.899999618530277,28.700000762939453,24.84375,15.15594482421875,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 01:00:00,2022-02-28 02:00:00,29.5,27.80000114440918,26.899999618530277,33.10000228881836,30.399999618530277,27.200000762939453,29.399999618530277,28.5,28.700000762939453,39.375,89.9945068359375,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 02:00:00,2022-02-28 03:00:00,29.5,27.80000114440918,26.80000114440918,33.10000228881836,30.399999618530277,27.0,29.30000114440918,28.5,28.700000762939453,39.375,29.94140625,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 03:00:00,2022-02-28 04:00:00,29.600000381469727,27.899999618530277,26.826488494873047,33.10000228881836,30.399999618530277,27.200000762939453,29.30000114440918,28.399999618530277,28.700000762939453,37.5,39.6875,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 04:00:00,2022-02-28 05:00:00,29.80000114440918,27.80000114440918,26.899999618530277,33.10000228881836,30.399999618530277,24.80000114440918,29.30000114440918,28.399999618530277,28.700000762939453,22.5,39.990234375,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 05:00:00,2022-02-28 06:00:00,29.600000381469727,27.80000114440918,26.899999618530277,33.10000228881836,30.5,27.100000381469727,29.30000114440918,28.399999618530277,28.700000762939453,10.07720947265625,10.156325340270996,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 06:00:00,2022-02-28 07:00:00,29.600000381469727,27.80000114440918,27.0,33.20000076293945,30.5,27.100000381469727,29.399999618530277,28.5,28.700000762939453,29.0625,69.453125,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 07:00:00,2022-02-28 08:00:00,29.5,27.80000114440918,26.80000114440918,33.20000076293945,30.5,27.100000381469727,29.30000114440918,28.5,28.700000762939453,39.9951171875,30.00244140625,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 08:00:00,2022-02-28 09:00:00,29.600000381469727,27.80000114440918,26.80000114440918,33.20000076293945,30.5,27.200000762939453,29.399999618530277,28.600000381469727,28.80000114440918,29.970703125,20.60546875,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 09:00:00,2022-02-28 10:00:00,29.600000381469727,27.80000114440918,26.899999618530277,33.20000076293945,30.399999618530277,27.100000381469727,29.399999618530277,28.5,28.700000762939453,20.60546875,60.32222366333008,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 10:00:00,2022-02-28 11:00:00,30.0,27.80000114440918,27.0,33.20000076293945,30.399999618530277,27.100000381469727,29.399999618530277,28.600000381469727,28.700000762939453,0.0097845867276191,18.75,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 11:00:00,2022-02-28 12:00:00,29.399999618530277,27.80000114440918,27.0,33.10000228881836,30.399999618530277,27.0,29.399999618530277,28.5,28.80000114440918,39.990234375,10.0,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 12:00:00,2022-02-28 13:00:00,29.399999618530277,27.80000114440918,27.0,32.29999923706055,30.399999618530277,27.0,29.399999618530277,28.5,28.700000762939453,29.94140625,2.1175742902000814e-21,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 13:00:00,2022-02-28 14:00:00,29.5,27.80000114440918,27.0,32.29999923706055,30.600000381469727,27.200000762939453,29.399999618530277,28.5,28.700000762939453,15.0,2.1175742902000814e-21,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 14:00:00,2022-02-28 15:00:00,29.600000381469727,27.80000114440918,27.0,32.29999923706055,30.399999618530277,27.0,29.399999618530277,28.600000381469727,28.80000114440918,18.75,0.009765550494194,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 15:00:00,2022-02-28 16:00:00,29.5,27.80000114440918,26.80000114440918,32.29999923706055,30.399999618530277,27.0,29.399999618530277,28.600000381469727,28.80000114440918,20.00030517578125,8.470264849057648e-21,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 16:00:00,2022-02-28 17:00:00,29.5,27.80000114440918,27.0,32.29999923706055,30.5,27.0,29.5,28.600000381469727,28.80000114440918,39.84375,8.470264849057648e-21,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 17:00:00,2022-02-28 18:00:00,29.600000381469727,27.899999618530277,26.899999618530277,32.400001525878906,30.5,27.0,29.5,28.600000381469727,28.899999618530277,29.94140625,8.470264849057648e-21,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 18:00:00,2022-02-28 19:00:00,29.600000381469727,27.700000762939453,26.899999618530277,32.400001525878906,30.5,27.0,29.5,28.700000762939453,28.899999618530277,37.5,8.470264849057648e-21,5.463403351832982e-19,2.610343693604722e-25,1
2022-02-28 19:00:00,2022-02-28 20:00:00,29.5,27.700000762939453,27.0,32.400001525878906,30.5,27.100000381469727,29.600000381469727,28.700000762939453,28.899999618530277,44.98779296875,8.470264849057648e-21,5.463403351832982e-19,2.610343693604722e-25,1
